(1000, 9, 0.5343270099367661)
(1000, 10, 0.5383920505871725)
(1000, 11, 0.5248419150858176)
(1000, 12, 0.5370370370370371)
(1000, 13, 0.532520325203252)
(1000, 14, 0.533423667570009)
(1000, 15, 0.5298102981029811)
(1000, 16, 0.537940379403794)
(1000, 17, 0.5374887082204155)
(1000, 18, 0.5284552845528455)
(1000, 19, 0.5266485998193315)
(1000, 20, 0.5302619692863595)
(1100, 1, 0.5284552845528455)
(1100, 2, 0.5329719963866305)
(1100, 3, 0.528003613369467)
(1100, 4, 0.5374887082204155)
(1100, 5, 0.5343270099367661)
(1100, 6, 0.5356820234869015)
(1100, 7, 0.5316169828364951)
(1100, 8, 0.5302619692863595)
(1100, 9, 0.533423667570009)
(1100, 10, 0.540650406504065)
(1100, 11, 0.5248419150858176)
(1100, 12, 0.5316169828364951)
(1100, 13, 0.5370370370370371)
(1100, 14, 0.5311653116531165)
(1100, 15, 0.5284552845528455)
(1100, 16, 0.5343270099367661)
(1100, 17, 0.5356820234869015)
(1100, 18, 0.535230352303523)
(1100, 19, 0.526196928635953)
(1100, 20, 0.532520325203252)
(1200, 1, 0.5298102981029811)
(1200, 2, 0.5347786811201445)
(1200, 3, 0.528906955736224)
(1200, 4, 0.533423667570009)
(1200, 5, 0.5343270099367661)
(1200, 6, 0.5329719963866305)
(1200, 7, 0.5316169828364951)
(1200, 8, 0.5298102981029811)
(1200, 9, 0.5370370370370371)
(1200, 10, 0.5392953929539296)
(1200, 11, 0.5239385727190605)
(1200, 12, 0.5338753387533876)
(1200, 13, 0.5370370370370371)
(1200, 14, 0.528003613369467)
(1200, 15, 0.530713640469738)
(1200, 16, 0.5343270099367661)
(1200, 17, 0.5302619692863595)
(1200, 18, 0.5266485998193315)
(1200, 19, 0.5275519421860885)
(1200, 20, 0.5316169828364951)
(1300, 1, 0.526196928635953)
(1300, 2, 0.533423667570009)
(1300, 3, 0.5284552845528455)
(1300, 4, 0.5343270099367661)
(1300, 5, 0.5356820234869015)
(1300, 6, 0.5316169828364951)
(1300, 7, 0.5302619692863595)
(1300, 8, 0.5298102981029811)
(1300, 9, 0.5370370370370371)
(1300, 10, 0.5411020776874436)
(1300, 11, 0.525293586269196)
(1300, 12, 0.5356820234869015)
(1300, 13, 0.533423667570009)
(1300, 14, 0.5271002710027101)
(1300, 15, 0.5284552845528455)
(1300, 16, 0.532520325203252)
(1300, 17, 0.5343270099367661)
(1300, 18, 0.5266485998193315)
(1300, 19, 0.5311653116531165)
(1300, 20, 0.5275519421860885)
(1400, 1, 0.530713640469738)
(1400, 2, 0.532520325203252)
(1400, 3, 0.528003613369467)
(1400, 4, 0.5316169828364951)
(1400, 5, 0.5347786811201445)
(1400, 6, 0.5338753387533876)
(1400, 7, 0.532520325203252)
